"","pathway","pval","padj","overlap","size","overlapGenes","sample_id"
"816","UBIQUITIN_CYCLE",3.00673629448757e-05,0.000379600457179056,2,48,"ENSG00000012048, ENSG00000109670","MM909_20"
"817","GOBP_PROTEIN_K48_LINKED_UBIQUITINATION",5.53552054011661e-05,0.000621208416168642,2,65,"ENSG00000085382, ENSG00000182670","MM909_20"
"818","GOMF_UBIQUITIN_LIKE_PROTEIN_BINDING",0.000195385843425374,0.00197339701859628,2,122,"ENSG00000109670, ENSG00000157450","MM909_20"
"819","GOCC_CULLIN_RING_UBIQUITIN_LIGASE_COMPLEX",0.000428845081179322,0.00393757756355559,2,181,"ENSG00000189186, ENSG00000109670","MM909_20"
"820","GOCC_GID_COMPLEX",0.0008577398831634,0.00721931068329195,1,5,"ENSG00000153561","MM909_20"
"821","GOMF_HISTONE_UBIQUITIN_LIGASE_ACTIVITY",0.00171481087988634,0.0133227614514247,1,10,"ENSG00000024048","MM909_20"
"822","GOBP_PROTEIN_K6_LINKED_UBIQUITINATION",0.00188614485417882,0.0136071878765758,1,11,"ENSG00000012048","MM909_20"
"823","GOBP_UBIQUITIN_RECYCLING",0.00222873260774892,0.0150067995588427,1,13,"ENSG00000109670","MM909_20"
"824","BIOCARTA_ATRBRCA_PATHWAY",0.0037690550241547,0.0223926210258603,1,22,"ENSG00000012048","MM909_20"
"825","GOBP_POSITIVE_REGULATION_OF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVITY",0.0037690550241547,0.0223926210258603,1,22,"ENSG00000109670","MM909_20"
"826","GOMF_UBIQUITIN_PROTEIN_TRANSFERASE_REGULATOR_ACTIVITY",0.00462385531700682,0.0259449659454272,1,27,"ENSG00000109670","MM909_20"
"827","YU_BAP1_TARGETS",0.00496558869751529,0.0263960241288971,1,29,"ENSG00000012048","MM909_20"
"828","GOCC_CUL4_RING_E3_UBIQUITIN_LIGASE_COMPLEX",0.00633145590227602,0.0319738523064939,1,37,"ENSG00000189186","MM909_20"
"829","GOBP_REGULATION_OF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVITY",0.00667265627390623,0.0320922992221204,1,39,"ENSG00000109670","MM909_20"
"830","GOCC_NUCLEAR_UBIQUITIN_LIGASE_COMPLEX",0.00735473751125326,0.0337649313016627,1,43,"ENSG00000012048","MM909_20"
"831","REACTOME_E3_UBIQUITIN_LIGASES_UBIQUITINATE_TARGET_PROTEINS",0.0087176227999477,0.0382817349041182,1,51,"ENSG00000146414","MM909_20"
"832","GOMF_UBIQUITIN_LIGASE_SUBSTRATE_ADAPTOR_ACTIVITY",0.00922826605886873,0.0388356196644059,1,54,"ENSG00000109670","MM909_20"
"833","GOCC_SCF_UBIQUITIN_LIGASE_COMPLEX",0.0109286836465273,0.0441518819319704,1,64,"ENSG00000109670","MM909_20"
"834","WP_PARKIN_UBIQUITIN_PROTEASOMAL_SYSTEM_PATHWAY",0.0121173969269164,0.0470714265237906,1,71,"ENSG00000109670","MM909_20"
"835","BIOCARTA_CBL_PATHWAY",1,1,0,12,"","MM909_20"
"836","BIOCARTA_GSK3_PATHWAY",1,1,0,20,"","MM909_20"
"837","BIOCARTA_HIF_PATHWAY",1,1,0,15,"","MM909_20"
"838","BIOCARTA_P27_PATHWAY",1,1,0,13,"","MM909_20"
"839","BIOCARTA_P53HYPOXIA_PATHWAY",1,1,0,21,"","MM909_20"
"840","BIOCARTA_PARKIN_PATHWAY",1,1,0,8,"","MM909_20"
"841","BIOCARTA_PROTEASOME_PATHWAY",1,1,0,18,"","MM909_20"
"842","BIOCARTA_SPRY_PATHWAY",1,1,0,17,"","MM909_20"
"843","GCM_USP6",1,1,0,69,"","MM909_20"
"844","GOBP_FREE_UBIQUITIN_CHAIN_POLYMERIZATION",1,1,0,9,"","MM909_20"
"845","GOBP_HISTONE_UBIQUITINATION",1,1,0,8,"","MM909_20"
"846","GOBP_MONOUBIQUITINATED_PROTEIN_DEUBIQUITINATION",1,1,0,8,"","MM909_20"
"847","GOBP_NEGATIVE_REGULATION_OF_PROTEIN_UBIQUITINATION",1,1,0,78,"","MM909_20"
"848","GOBP_NEGATIVE_REGULATION_OF_UBIQUITIN_PROTEIN_LIGASE_ACTIVITY",1,1,0,9,"","MM909_20"
"849","GOBP_NEGATIVE_REGULATION_OF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVITY",1,1,0,15,"","MM909_20"
"850","GOBP_POSITIVE_REGULATION_OF_UBIQUITIN_PROTEIN_LIGASE_ACTIVITY",1,1,0,9,"","MM909_20"
"851","GOBP_PROTEIN_DEUBIQUITINATION_INVOLVED_IN_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS",1,1,0,8,"","MM909_20"
"852","GOBP_PROTEIN_K11_LINKED_DEUBIQUITINATION",1,1,0,10,"","MM909_20"
"853","GOBP_PROTEIN_K11_LINKED_UBIQUITINATION",1,1,0,30,"","MM909_20"
"854","GOBP_PROTEIN_K27_LINKED_UBIQUITINATION",1,1,0,7,"","MM909_20"
"855","GOBP_PROTEIN_K29_LINKED_DEUBIQUITINATION",1,1,0,5,"","MM909_20"
"856","GOBP_PROTEIN_K29_LINKED_UBIQUITINATION",1,1,0,7,"","MM909_20"
